Name,Male,Male2,Female,Main
Степан,Степанович,, Степанівна,
Стефан,Стефанович,, Стефанівна,Степан
Стоян,Стоянович,, Стоянівна,
Стратон,Стратонович,, Стратонівна,
Тадей,Тадейович,, Тадеївна,
Тадій,Тадійович,, Тадіївна,Тадей
Танасій,Танасійович,, Танасіївна,Панас
Танас,Танасович,, Танасівна,Панас
Тарас,Тарасович,, Тарасівна,
Теодор,Теодорович,, Теодорівна,
Теоктист,Теоктистович,, Теоктистівна,Феоктист
Теофан,Теофанович,,Теофанівна,Феофан
Теофілакт,Теофілактович,, Теофілактівна,
Теофіл,Теофілович,, Теофілівна,Феофіл
Терапонт,Терапонтович,, Терапонтівна,
Терентій,Терентійович,, Терентіївна,
Терень,Тереньович,, Теренівна,Терентій
Терешко,Терешкович,, Терешківна,Терентій
Тилимон,Тилимонович,, Тилимонівна,Филимон
Тимко,Тимкович,, Тимківна,Тимофій
Тимон,Тимонович,, Тимонівна,
Тимофій,Тимофійович,, Тимофіївна,
Тиміш,Тимошевич,, Тимошівна,
Тимур,Тимурович,, Тимурівна,
Тит,Титович,, Титівна,
Тихін,Тихонович,, Тихонівна,
Тихон,Тихонович,, Тихонівна,Тихін
Тодор,Тодорович,, Тодорівна,Теодор
Тодосій,Тодосійович,, Тодосіївна,Феодосій
Тодос,Тодосович,, Тодосівна,Феодосій
Трифілій,Трифілійович,, Трифіліївна,
Трифон,Трифонович,, Трифонівна,
Трохим,Трохимович,, Трохимівна,
Улас,Уласович,, Уласівна,Влас
Уліян,Уліянович,, Уліянівна,Юліан
Улян,Улянович,, Улянівна,
Устим,Устимович,, Устимівна,
Устин,Устинович,, Устинівна,Устим
Фавій,Фавійович,, Фавіївна,
Фавстіан,Фавстіанович,, Фавстіанівна,Фавст
Фавст,Фавстович,, Фавстівна,
Фадей,Фадейович,, Фадеївна,Тадей
Фалалій,Фалалійович,, Фалаліївна,
Фаласій,Фаласійович,, Фаласіївна,
Фантин,Фантинович,, Фантинівна,
Федір,Федорович,, Федорівна,
Федот,Федотович,, Федотівна,
Федул,Федулович,, Федулівна,Феодул
Фелікс,Феліксович,, Феліксівна,
Фемістокл,Фемістоклович,, Фемістоклівна,
Феоген,Феогенович,, Феогенівна,
Феодосій,Феодосійович,, Феодосіївна,
Феодул,Феодулович,, Феодулівна,
Феоктист,Феоктистович,, Феоктистівна,
Феофан,Феофанович,, Феофанівна,
Феофілакт,Феофілактович,, Феофілактівна,
Феофіл,Феофілович,, Феофілівна,
Ферапонт,Ферапонтович,, Ферапонтівна,
Филимон,Филимонович,, Филимонівна,
Філадельф,Філадельфович,,Філадельфівна,
Філарет,Філаретович,, Філаретівна,
Фірс,Фірсович,, Фірсівна,
Флавіан,Флавіанович,, Флавіанівна,
Флавій,Флавійович,, Флавіївна,
Флегонт,Флегонтович,, Флегонтівна,
Флорентин,Флорентинович,, Флорентинівна,
Флорентій,Флорентійович,, Флорентіївна,
Флоріан,Флоріанович,, Флоріанівна,
Флор,Флорович,, Флорівна,
Фока,Фокич,, Фоківна,
Фома,Фомич,, Фомівна,
Фортунат,Фортунатович,, Фортунатівна,
Фотій,Фотійович,, Фотіївна,
Фот,Фотович,, Фотівна,Фотій
Франко,Франкович,, Франківна,
Франц,Францович,, Францівна,
Фрідріх,Фрідріхович,, Фрідріхівна,
Фрол,Фролович,, Фролівна,
Харисим,Харисимович,, Харисимівна,
Харитон,Харитонович,, Харитонівна,
Харлам,Харламович,, Харламівна,Харламп
Харламп,Харлампович,, Харлампівна,
Хома,Хомич,Хомович, Хомівна,
Хрисанф,Хрисанфович,, Хрисанфівна,
Християн,Християнович,, Християнівна,
Христофор,Христофорович,, Христофорівна,
Чеслав,Чеславович,, Чеславівна,
Ювеналій,Ювеналійович,, Ювеналіївна,
Юзеф,Юзефович,, Юзефівна,
Юліан,Юліанович,, Юліанівна,
Юлій,Юлійович,, Юліївна,
Юліус,Юліусович,, Юліусівна,
Юній,Юнійович,, Юніївна,
Юрій,Юрійович,, Юріївна,
Юстим,Юстимович,, Юстимівна,Устим
Юстиніан,Юстиніанович,, Юстиніанівна,
Юстин,Юстинович,, Юстинівна,Устим
Юхим,Юхимович,, Юхимівна,
Явдоким,Явдокимович,, Явдокимівна,Євдоким
Яким,Якимович,, Якимівна,
Яків,Якович,, Яківна,
Якуб,Якубович,, Якубівна,
Ян,Янович,, Янівна,
Януарій,Януарійович,, Януаріївна,
Ярема,Яремович,, Яремівна,
Яромир,Яромирович,, Яромирівна,
Ярополк,Ярополкович,, Ярополківна,
Ярослав,Ярославович,, Ярославівна,
